"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11437","Login Test with JSON Data: Invalid login @datadriven","chromium","2026-04-02","passed","2026-04-02","","LoginDataDriven.spec.ts","",""
"","25423","Product search test @master @regression","chromium","2026-04-02","passed","2026-04-02","","SearchProduct.spec.ts","",""
"","11410","Login Test with CSV Data: Valid login @datadriven","chromium","2026-04-02","passed","2026-04-02","","LoginDataDriven.spec.ts","",""
"","11229","User Login Test @master @sanity @regression","chromium","2026-03-30","passed","2026-03-30","","Login.spec.ts","",""
"","11182","Login Test with JSON Data: Valid login @datadriven","chromium","2026-04-02","passed","2026-04-02","","LoginDataDriven.spec.ts","",""
"","5379","User Registration Test","chromium","2026-03-27","passed","2026-03-27","","accountRegistraton.spec.ts","",""
"","17015","execute end-to-end test flow @end-to-end","chromium","2026-04-02","passed","2026-04-02","","EndToEndTest.spec.ts","",""
"","9543","Login test with JSON data: Invalid login @datadriven","chromium","2026-03-30","failed","2026-03-30","","LoginDDT.spec.ts","",""
"","5895","Login Test with CSV Data: Invalid login @datadriven","chromium","2026-04-02","failed","2026-04-02","","LoginDataDriven.spec.ts","",""
"","24404","User logout test @master @regression","chromium","2026-04-02","passed","2026-04-02","","Logout.spec.ts","",""
"","11377","Login test with JSON data: Valid login @datadriven","chromium","2026-03-30","passed","2026-03-30","","LoginDDT.spec.ts","",""
"","10993","User registration test @master @sanity @regression","chromium","2026-04-02","passed","2026-04-02","","AccountRegistration.spec.ts","",""
"","13856","User Registration Test @master @sanity @regression","chromium","2026-03-30","passed","2026-03-30","","AccountRegistraton.spec.ts","",""
"","5451","User Login Test","chromium","2026-03-27","passed","2026-03-27","","Login.spec.ts","",""
"","11418","User Registration Test","chromium","2026-03-27","passed","2026-03-27","","test.spec.ts","",""
"","28813","Add product to cart test @master @regression","chromium","2026-04-02","passed","2026-04-02","","AddToCart.spec.ts","",""
"","6228","User login test @master @sanity @regression","chromium","2026-04-02","passed","2026-04-02","","Login.spec.ts","",""
